"African",
"African American","American"
"Albanian","Balkans"
"American",
"Amharic","African"
"Amharic","Middle Eastern"
"Arabic","Middle Eastern"
"Aramaic","Middle Eastern"
"Armenian","Asian"
"Asian",
"Assyrian","Middle Eastern"
"Australian","South Seas"
"Azerbaijan","Middle Eastern"
"Aztec","Latin American"
"Bahasa","Asian"
"Balkans","European"
"Basque","Spanish"
"Belarusian","European"
"Breton","British Isles"
"British Isles","European"
"Bulgarian","Balkans"
"Cambodian","Asian"
"Catalan","Spanish"
"Celtic","British Isles"
"Chechens","European"
"Chinese","Asian"
"Cornish","British Isles"
"Croatian","European"
"Croatian","Slavic"
"Czechoslovakian","European"
"Czechoslovakian","Slavic"
"Danish","Scandinavian"
"Dutch","European"
"Egyptian","African"
"Egyptian","Middle Eastern"
"English","British Isles"
"Estonian","European"
"Ethiopian","African"
"European",
"Finnish","Scandinavian"
"French","European"
"Gaelic","British Isles"
"Georgian","Asian"
"German","European"
"Ghanan","African"
"Greek","European"
"Hawaiian","Native American"
"Hebrew","Middle Eastern"
"Hindi","Asian"
"Hungarian","European"
"Icelandic","Scandinavian"
"Igbo","African"
"Incan",
"Indian","Asian"
"Indonesian","Asian"
"Iranian","Middle Eastern"
"Irish","British Isles"
"Israeli","Middle Eastern"
"Italian","European"
"Japanese","Asian"
"Korean","Asian"
"Latin","European"
"Latin American",
"Latvian","European"
"Literature",
"Lithuanian","European"
"Macedonian","Balkans"
"Middle Eastern",
"Middle English","English"
"Native American","American"
"Navarrese","Spanish"
"Nigerian","African"
"Norse","Scandinavian"
"Norwegian","Scandinavian"
"Old English","English"
"Old French","French"
"Old German","German"
"Old Norse","Norse"
"Persian","Middle Eastern"
"Phoenician","Middle Eastern"
"Polish","European"
"Polish","Slavic"
"Polynesian","South Seas"
"Portuguese","European"
"Roman","Latin"
"Romani","European"
"Romanian","Balkans"
"Russian","Slavic"
"Sanskrit","Middle Eastern"
"Scandinavian","European"
"Scottish","British Isles"
"Serbian","Balkans"
"Serbian","Slavic"
"Sioux","Native American"
"Slavic",
"Slovak","European"
"Slovak","Slavic"
"Slovene","European"
"Slovene","Slavic"
"Somali","African"
"South Seas",
"Spanish","European"
"Swahili","African"
"Swedish","Scandinavian"
"Swiss","European"
"Tamil","Asian"
"Teutonic","Scandinavian"
"Thai","Asian"
"Turkish","Middle Eastern"
"Ugandan","African"
"Ukrainian","European"
"Ukrainian","Slavic"
"Urdu","Asian"
"Vietnamese","Asian"
"Welsh","British Isles"
"Xhosa","African"
"Yiddish","Middle Eastern"
"Yoruba","African"
"Zulu","African"
